Time,ID,x_coord,y_coord,Speed,Acceleration
38,760,696.34,2,20.34,0.3
38,354,665.36,1,23.12,0.3
38,269,659.81,2,17.82,0.03
38,375,650.17,0,21.88,0.22
38,417,612.74,1,22.48,0.18
38,866,611.92,2,17.8,0.17
38,438,607.18,0,21.19,0.12
38,343,578.12,1,21.05,0.12
38,481,565.55,0,20.99,0.17
38,972,544.24,2.08,18.03,0.38
38,401,509.45,1.41,19.16,0.19
38,523,508.43,0,21.86,0.09
38,470,467.2,1,19.28,0.03
38,517,458.35,2,19.05,0.25
38,587,458.11,0,21.03,0.36
38,629,413.55,0,20.13,0.06
38,566,409.45,2,18.69,0.23
38,560,369.06,1,18.18,0.28
38,672,362.21,0,19.56,0.26
38,618,351.27,2,18.75,0.18
38,734,321.33,0,18.33,0.19
38,666,312.31,1,17.36,0.31
38,713,292.87,2,18.09,0.11
38,777,285.41,0,17.6,0.06
38,819,243.81,0,17.18,0.03
38,766,238.99,1,16.11,0.23
38,813,221.32,2,16.71,0.38
38,882,211.95,0,16.28,0.04
38,903,189.19,2,15.42,0.16
38,860,181.15,1,15.09,0.29
38,924,181.1,0,15.83,-0.06
38,988,153.4,0,15.72,0.01
38,966,142.34,2,15.5,0.25
38,960,124.14,1,13.82,0.34
38,1030,123.86,0,16.13,-0.12
38,1019,100.55,2,14.16,0.16
38,1072,87.77,0,15.75,0.16
38,1066,76.4,1,13.43,0.37
38,1094,74.96,2,13.98,-0.17
38,1115,51.84,0,12.95,0.26
38,1177,28.17,2,15.6,-0.12
38,1166,27.38,1,12.74,0.18
38,1199,18.8,0,17.76,-1.85
38,1220,2.35,2,11.77,0.21
39,354,688.61,1,23.36,0.09
39,269,677.76,2,18.1,0.26
39,375,672.15,0,22.09,0.3
39,417,635.34,1,22.73,0.33
39,866,629.81,2,17.97,0.04
39,438,628.43,0,21.3,0.08
39,343,599.27,1,21.24,0.1
39,481,586.6,0,21.1,0.2
39,972,562.41,2,18.34,0.32
39,523,530.31,0,21.9,-0.05
39,401,528.69,1.08,19.31,0.21
39,1078,491.75,3,16.98,0.17
39,470,486.47,1,19.25,-0.18
39,587,479.25,0,21.29,0.28
39,517,477.22,2,17.91,-3.12
39,629,433.82,0,20.4,0.31
39,566,428.24,2,18.84,0
39,560,387.37,1,18.43,0.14
39,672,381.87,0,19.76,0.22
39,618,370.14,2,19.02,0.28
39,734,339.79,0,18.57,0.25
39,666,329.79,1,17.61,0.38
39,713,311.06,2,18.31,0.13
39,777,303.1,0,17.76,0.13
39,819,261.08,0,17.38,0.25
39,766,255.24,1,16.39,0.37
39,813,238.19,2,17.04,0.21
39,882,228.3,0,16.41,0.11
39,903,204.73,2,15.68,0.31
39,924,196.96,0,15.9,0.16
39,860,196.36,1,15.34,0.23
39,988,169.08,0,15.64,-0.06
39,966,157.91,2,15.63,0.05
39,1030,139.94,0,16.02,-0.16
39,960,138.1,1,14.13,0.37
39,1019,114.86,2,14.47,0.34
39,1072,103.58,0,15.85,0.04
39,1066,89.93,1,13.65,0.21
39,1094,88.9,2,13.95,-0.02
39,1115,64.94,0,13.22,0.19
39,1177,43.71,2,15.48,-0.25
39,1166,40.2,1,12.9,0.13
39,1199,35.71,0,16.15,-1.34
39,1220,14.31,2,12.13,0.29
39,1241,6.28,1,15.6,-0.51
40,375,694.33,0,22.26,0.18
40,417,658.16,1,22.93,0.22
40,438,649.82,0,21.46,0.16
40,866,647.87,2,18.2,0.27
40,343,620.6,1,21.44,0.23
40,481,607.73,0,21.16,0.13
40,972,580.89,2,18.63,0.18
40,523,552.28,0,22.07,0.2
40,401,548.01,1,19.34,0.06
40,1078,508.91,2.82,17.34,0.32
40,470,505.68,1,19.16,-0.11
40,587,500.63,0,21.53,0.34
40,517,494.13,2,16.55,-0.01
40,629,454.36,0,20.67,0.24
40,566,447.06,2,18.8,0.03
40,560,405.91,1,18.63,0.2
40,672,401.76,0,20.03,0.36
40,618,389.25,2,19.2,0.12
40,734,358.46,0,18.76,0.18
